"InphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.533333,          2.2817,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2793,          1.7891,          1.7488,          2.0452,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0007,        -80.0003,        -80.0001,        -79.9998,        -79.9998,        -79.9990,        -79.9981,        -80.0005
,        0.541667,          2.2818,          1.4268,          2.0252,          2.5834,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0452,          2.2030,          2.1112,          2.2747,          1.8869,          2.1720,        -79.9992,        -79.9996,        -80.0007,        -80.0003,        -79.9995,        -79.9996,        -80.0008,        -79.9996
,        0.550000,          2.2817,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2747,          1.8868,          2.1722,        -80.0002,        -79.9999,        -79.9994,        -79.9997,        -79.9998,        -79.9994,        -79.9974,        -80.0003
,        0.558333,          2.2818,          1.4268,          2.0252,          2.5834,          2.1930,          1.4375,          1.7897,          2.2792,          1.7890,          1.7488,          2.0453,          2.2031,          2.1113,          2.2747,          1.8868,          2.1721,        -80.0000,        -79.9995,        -80.0007,        -79.9999,        -79.9997,        -79.9995,        -79.9994,        -79.9997
,        0.566667,          2.2818,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0453,          2.2030,          2.1112,          2.2748,          1.8868,          2.1720,        -79.9998,        -80.0003,        -79.9997,        -79.9996,        -80.0002,        -79.9995,        -79.9980,        -80.0001
,        0.575000,          2.2819,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2791,          1.7891,          1.7489,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0002,        -80.0000,        -79.9997,        -79.9992,        -79.9993,        -79.9999,        -79.9990,        -79.9994
,        0.583333,          2.2818,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -79.9997,        -79.9998,        -80.0001,        -79.9997,        -80.0006,        -80.0004,        -80.0014,        -80.0004
,        0.591667,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2793,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2747,          1.8868,          2.1719,        -80.0004,        -79.9999,        -80.0004,        -80.0006,        -79.9998,        -79.9996,        -80.0010,        -80.0001
,        0.600000,          2.2819,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -79.9989,        -80.0003,        -79.9998,        -79.9998,        -80.0004,        -80.0006,        -79.9994,        -80.0001
,        0.608333,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2031,          2.1112,          2.2747,          1.8868,          2.1720,        -79.9986,        -80.0001,        -80.0000,        -80.0001,        -80.0004,        -79.9998,        -79.9978,        -79.9993
,        0.616667,          2.2818,          1.4268,          2.0252,          2.5834,          2.1929,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -79.9997,        -80.0000,        -80.0003,        -79.9994,        -79.9996,        -79.9995,        -80.0004,        -79.9999
