"VanillaC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_006.tcf]","Time (h)","Q 2 [VanillaC4_006]","Q 3 [VanillaC4_006]","Q 4 [VanillaC4_006]","Q 5 [VanillaC4_006]","Q 6 [VanillaC4_006]","Q 7 [VanillaC4_006]","Q 1 [VanillaC4_006]","Q  8 [VanillaC4_006]"
         179,        1.483333,         -6.0000,         -6.0001,         -6.0000,         -6.0001,         -6.0000,         -6.0001,         -5.9999,         -5.9998
         180,        1.491667,         -5.9999,         -6.0002,         -6.0000,         -6.0001,         -6.0000,         -6.0001,         -5.9999,         -5.9999
         181,        1.500000,         -6.0001,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001
         182,        1.508333,         -6.0000,         -5.9999,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0001,         -5.9999
         183,        1.516667,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -6.0000
         184,        1.525000,         -6.0001,         -6.0001,         -6.0001,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -6.0000
         185,        1.533333,         -5.9999,         -6.0000,         -5.9999,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0000
         186,        1.541667,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9999
         187,        1.550000,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -6.0001,         -5.9999
         188,        1.558333,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -6.0000
         189,        1.566667,         -5.9999,         -6.0000,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0000,         -5.9999
         190,        1.575000,         -6.0001,         -6.0001,         -5.9998,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -6.0000
         191,        1.583333,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0002,         -6.0000,         -6.0000,         -6.0000
         192,        1.591667,         -6.0001,         -6.0000,         -6.0001,         -6.0001,         -5.9998,         -6.0001,         -6.0001,         -6.0000
         193,        1.600000,         -5.9999,         -6.0000,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -6.0002,         -6.0000
         194,        1.608333,         -6.0000,         -6.0001,         -5.9998,         -6.0000,         -5.9999,         -6.0001,         -6.0000,         -5.9999
         195,        1.616667,         -5.9998,         -6.0000,         -5.9998,         -5.9999,         -6.0001,         -6.0000,         -5.9999,         -5.9999
         196,        1.625000,         -6.0000,         -5.9999,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -5.9999,         -5.9997
         197,        1.633333,         -5.9998,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -6.0001,         -6.0000,         -5.9999
         198,        1.641667,         -6.0001,         -6.0001,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -5.9998,         -6.0000
         199,        1.650000,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -6.0002,         -6.0000,         -6.0001,         -5.9998
         200,        1.658333,         -5.9999,         -6.0002,         -5.9999,         -6.0000,         -5.9999,         -5.9999,         -6.0002,         -6.0001
