"OutphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_013.tcf]","Time (h)","V 2 [OutphaseC4_013]","V 3 [OutphaseC4_013]","V 4 [OutphaseC4_013]","V 5 [OutphaseC4_013]","V 6 [OutphaseC4_013]","V 7 [OutphaseC4_013]","V 8 [OutphaseC4_013]","V 9 [OutphaseC4_013]","V 10 [OutphaseC4_013]","V 11 [OutphaseC4_013]","V 12 [OutphaseC4_013]","V 13 [OutphaseC4_013]","V 14 [OutphaseC4_013]","V 15 [OutphaseC4_013]","V 16 [OutphaseC4_013]","V  1 [OutphaseC4_013]"
          89,        0.733333,          1.3571,          0.0839,          0.6341,          0.9829,          0.9504,          0.2264,          0.0270,          0.3068,          1.2626,          0.4124,          0.0778,          0.3964,          0.7884,          2.2359,          3.2316,          0.5515
          90,        0.741667,          1.3585,          0.0833,          0.6199,          0.9814,          0.9502,          0.2263,          0.0280,          0.3040,          1.2627,          0.4119,          0.0797,          0.3942,          0.7882,          2.2358,          3.2317,          0.5537
          91,        0.750000,          1.3646,          0.0768,          0.6051,          0.9791,          0.9505,          0.2265,          0.0290,          0.3016,          1.2625,          0.4116,          0.0819,          0.3920,          0.7877,          2.2359,          3.2317,          0.5567
          92,        0.758333,          1.3567,          0.0868,          0.5914,          0.9733,          0.9511,          0.2264,          0.0306,          0.2988,          1.2622,          0.4114,          0.0839,          0.3897,          0.7873,          2.2360,          3.2317,          0.6311
          93,        0.766667,          1.3550,          0.0812,          0.5765,          0.9660,          0.9509,          0.2264,          0.0322,          0.2959,          1.2623,          0.4108,          0.0864,          0.3871,          0.7868,          2.2359,          3.2318,          0.5662
          94,        0.775000,          1.3550,          0.0784,          0.5625,          0.9577,          0.9510,          0.2264,          0.0342,          0.2928,          1.2619,          0.4107,          0.0890,          0.3846,          0.7863,          2.2361,          3.2316,          0.5667
          95,        0.783333,          1.3579,          0.0813,          0.5472,          0.9489,          0.9507,          0.2263,          0.0365,          0.2893,          1.2619,          0.4102,          0.0917,          0.3819,          0.7857,          2.2360,          3.2318,          0.5607
          96,        0.791667,          1.3614,          0.0884,          0.5318,          0.9359,          0.9509,          0.2265,          0.0389,          0.2863,          1.2617,          0.4098,          0.0947,          0.3790,          0.7848,          2.2361,          3.2317,          0.5511
          97,        0.800000,          1.3606,          0.0854,          0.5174,          0.9222,          0.9510,          0.2264,          0.0419,          0.2832,          1.2613,          0.4095,          0.0978,          0.3759,          0.7841,          2.2361,          3.2317,          0.6379
          98,        0.808333,          1.3525,          0.0844,          0.5023,          0.9103,          0.9505,          0.2264,          0.0449,          0.2801,          1.2615,          0.4088,          0.1014,          0.3727,          0.7840,          2.2360,          3.2317,          0.5707
          99,        0.816667,          1.3515,          0.0818,          0.4887,          0.8992,          0.9505,          0.2264,          0.0483,          0.2768,          1.2611,          0.4084,          0.1050,          0.3695,          0.7841,          2.2362,          3.2316,          0.5765
         100,        0.825000,          1.3600,          0.0849,          0.4737,          0.8889,          0.9499,          0.2263,          0.0519,          0.2728,          1.2611,          0.4077,          0.1090,          0.3660,          0.7842,          2.2361,          3.2317,          0.5522
         101,        0.833333,          1.3621,          0.0889,          0.4591,          0.8771,          0.9501,          0.2266,          0.0556,          0.2691,          1.2607,          0.4072,          0.1135,          0.3624,          0.7841,          2.2362,          3.2317,          0.5409
         102,        0.841667,          1.3605,          0.0900,          0.4454,          0.8657,          0.9498,          0.2264,          0.0601,          0.2648,          1.2604,          0.4067,          0.1178,          0.3590,          0.7840,          2.2362,          3.2316,          0.6444
         103,        0.850000,          1.3519,          0.0826,          0.4314,          0.8548,          0.9489,          0.2264,          0.0646,          0.2605,          1.2603,          0.4059,          0.1227,          0.3550,          0.7839,          2.2362,          3.2316,          0.5821
         104,        0.858333,          1.3510,          0.0788,          0.4193,          0.8444,          0.9487,          0.2264,          0.0697,          0.2563,          1.2598,          0.4055,          0.1281,          0.3504,          0.7834,          2.2363,          3.2316,          0.5859
         105,        0.866667,          1.3604,          0.0949,          0.4060,          0.8356,          0.9477,          0.2263,          0.0750,          0.2519,          1.2599,          0.4047,          0.1339,          0.3459,          0.7833,          2.2361,          3.2316,          0.5471
         106,        0.875000,          1.3635,          0.0902,          0.3934,          0.8256,          0.9476,          0.2267,          0.0806,          0.2476,          1.2594,          0.4041,          0.1402,          0.3418,          0.7829,          2.2364,          3.2316,          0.5432
         107,        0.883333,          1.3622,          0.0943,          0.3816,          0.8168,          0.9473,          0.2265,          0.0873,          0.2430,          1.2590,          0.4035,          0.1467,          0.3375,          0.7826,          2.2364,          3.2316,          0.6343
         108,        0.891667,          1.3566,          0.0791,          0.3696,          0.8081,          0.9466,          0.2265,          0.0936,          0.2386,          1.2591,          0.4025,          0.1541,          0.3327,          0.7819,          2.2364,          3.2316,          0.5923
         109,        0.900000,          1.3506,          0.0899,          0.3599,          0.7998,          0.9461,          0.2264,          0.1010,          0.2342,          1.2584,          0.4021,          0.1618,          0.3278,          0.7811,          2.2365,          3.2315,          0.6022
         110,        0.908333,          1.3571,          0.0965,          0.3489,          0.7930,          0.9447,          0.2263,          0.1086,          0.2296,          1.2584,          0.4010,          0.1701,          0.3226,          0.7806,          2.2365,          3.2315,          0.5526
         111,        0.916667,          1.3649,          0.0885,          0.3387,          0.7852,          0.9445,          0.2267,          0.1166,          0.2252,          1.2579,          0.4002,          0.1792,          0.3172,          0.7792,          2.2367,          3.2315,          0.5391
         112,        0.925000,          1.3669,          0.0953,          0.3291,          0.7787,          0.9445,          0.2265,          0.1257,          0.2205,          1.2575,          0.3994,          0.1887,          0.3117,          0.7783,          2.2367,          3.2315,          0.6195
         113,        0.933333,          1.3593,          0.0879,          0.3195,          0.7724,          0.9436,          0.2266,          0.1348,          0.2162,          1.2574,          0.3982,          0.1991,          0.3060,          0.7782,          2.2366,          3.2316,          0.5935
         114,        0.941667,          1.3496,          0.0911,          0.3122,          0.7667,          0.9435,          0.2265,          0.1451,          0.2118,          1.2567,          0.3975,          0.2102,          0.3002,          0.7780,          2.2369,          3.2313,          0.6271
         115,        0.950000,          1.3541,          0.0829,          0.3035,          0.7625,          0.9421,          0.2264,          0.1557,          0.2074,          1.2567,          0.3962,          0.2220,          0.2942,          0.7779,          2.2367,          3.2315,          0.5608
         116,        0.958333,          1.3657,          0.0866,          0.2959,          0.7572,          0.9423,          0.2267,          0.1669,          0.2034,          1.2561,          0.3952,          0.2347,          0.2880,          0.7773,          2.2369,          3.2314,          0.5320
         117,        0.966667,          1.3681,          0.0906,          0.2883,          0.7530,          0.9421,          0.2266,          0.1792,          0.1990,          1.2557,          0.3941,          0.2482,          0.2819,          0.7770,          2.2369,          3.2314,          0.6149
