"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
         160,        1.325000,        -19.9997,        -20.0000,        -20.0000,        -20.0003,        -19.9995,        -19.9999,        -20.0001,        -20.0004
         161,        1.333333,        -20.0000,        -19.9999,        -20.0001,        -20.0001,        -19.9998,        -19.9995,        -20.0001,        -20.0005
         162,        1.341667,        -20.0006,        -19.9999,        -19.9999,        -19.9997,        -20.0001,        -20.0001,        -20.0000,        -20.0005
         163,        1.350000,        -20.0001,        -20.0000,        -20.0003,        -19.9996,        -19.9999,        -19.9998,        -20.0002,        -20.0004
         164,        1.358333,        -20.0000,        -19.9998,        -20.0001,        -20.0001,        -20.0004,        -20.0000,        -20.0003,        -20.0000
         165,        1.366667,        -19.9999,        -20.0001,        -19.9997,        -19.9997,        -20.0002,        -20.0000,        -19.9999,        -19.9994
         166,        1.375000,        -19.9996,        -19.9999,        -20.0003,        -19.9999,        -20.0001,        -20.0000,        -20.0001,        -19.9997
         167,        1.383333,        -20.0002,        -20.0000,        -19.9998,        -20.0000,        -19.9995,        -20.0003,        -20.0000,        -19.9999
         168,        1.391667,        -19.9997,        -20.0001,        -20.0000,        -19.9999,        -20.0004,        -20.0001,        -20.0000,        -19.9994
         169,        1.400000,        -20.0001,        -19.9998,        -20.0002,        -19.9999,        -20.0004,        -20.0002,        -19.9999,        -20.0002
         170,        1.408333,        -19.9995,        -20.0002,        -20.0002,        -20.0002,        -20.0000,        -20.0000,        -20.0003,        -20.0004
         171,        1.416667,        -20.0001,        -19.9999,        -20.0002,        -19.9999,        -20.0002,        -20.0002,        -20.0001,        -19.9995
         172,        1.425000,        -20.0001,        -19.9998,        -19.9999,        -20.0000,        -20.0000,        -20.0000,        -20.0001,        -19.9997
         173,        1.433333,        -20.0008,        -19.9999,        -19.9996,        -20.0003,        -19.9997,        -20.0002,        -19.9998,        -20.0003
         174,        1.441667,        -19.9999,        -19.9999,        -19.9997,        -20.0002,        -20.0000,        -20.0002,        -20.0001,        -20.0002
         175,        1.450000,        -20.0000,        -20.0000,        -19.9999,        -19.9999,        -19.9994,        -19.9999,        -20.0002,        -19.9999
         176,        1.458333,        -20.0001,        -19.9998,        -20.0003,        -19.9996,        -20.0005,        -20.0002,        -20.0004,        -20.0001
         177,        1.466667,        -19.9993,        -20.0000,        -20.0008,        -20.0005,        -19.9993,        -20.0003,        -19.9998,        -19.9993
         178,        1.475000,        -20.0003,        -20.0000,        -20.0005,        -20.0000,        -19.9994,        -20.0001,        -20.0001,        -20.0001
         179,        1.483333,        -19.9998,        -19.9999,        -20.0006,        -20.0000,        -19.9997,        -19.9999,        -20.0000,        -19.9995
         180,        1.491667,        -20.0004,        -20.0001,        -20.0003,        -20.0003,        -20.0002,        -20.0000,        -20.0001,        -20.0002
         181,        1.500000,        -20.0000,        -20.0002,        -19.9996,        -20.0001,        -19.9995,        -19.9996,        -20.0002,        -20.0001
         182,        1.508333,        -20.0002,        -20.0001,        -20.0002,        -19.9999,        -20.0000,        -20.0000,        -19.9997,        -20.0000
         183,        1.516667,        -20.0004,        -20.0001,        -19.9998,        -20.0002,        -19.9999,        -20.0001,        -20.0002,        -20.0007
         184,        1.525000,        -19.9997,        -20.0000,        -20.0006,        -20.0000,        -19.9996,        -20.0002,        -20.0002,        -20.0001
         185,        1.533333,        -20.0004,        -20.0000,        -19.9992,        -20.0003,        -20.0003,        -20.0001,        -19.9997,        -19.9998
         186,        1.541667,        -20.0002,        -20.0000,        -19.9997,        -20.0003,        -19.9998,        -20.0000,        -19.9999,        -19.9996
         187,        1.550000,        -20.0004,        -20.0000,        -19.9998,        -19.9999,        -20.0007,        -20.0000,        -19.9999,        -20.0005
         188,        1.558333,        -20.0001,        -20.0000,        -19.9996,        -20.0001,        -20.0004,        -19.9998,        -20.0001,        -19.9999
         189,        1.566667,        -20.0004,        -19.9999,        -20.0003,        -19.9998,        -20.0003,        -19.9998,        -20.0001,        -19.9996
         190,        1.575000,        -20.0001,        -20.0002,        -20.0002,        -19.9998,        -20.0004,        -20.0001,        -20.0000,        -19.9995
         191,        1.583333,        -20.0003,        -20.0001,        -20.0006,        -19.9998,        -19.9997,        -20.0004,        -20.0001,        -19.9996
         192,        1.591667,        -19.9993,        -20.0001,        -20.0006,        -20.0003,        -20.0001,        -19.9998,        -19.9997,        -19.9993
         193,        1.600000,        -20.0002,        -20.0001,        -20.0004,        -19.9999,        -19.9997,        -20.0003,        -20.0000,        -20.0003
         194,        1.608333,        -19.9999,        -20.0001,        -20.0001,        -19.9998,        -19.9996,        -20.0000,        -19.9997,        -20.0000
         195,        1.616667,        -19.9998,        -20.0000,        -19.9997,        -20.0006,        -19.9999,        -20.0000,        -20.0001,        -19.9995
         196,        1.625000,        -20.0003,        -19.9999,        -20.0007,        -19.9999,        -20.0000,        -20.0000,        -20.0000,        -20.0004
         197,        1.633333,        -20.0000,        -20.0000,        -20.0005,        -19.9995,        -19.9996,        -20.0001,        -20.0000,        -19.9998
         198,        1.641667,        -19.9998,        -19.9997,        -20.0005,        -20.0000,        -19.9999,        -20.0002,        -19.9999,        -20.0000
