"OutphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.516667,          1.9875,          1.8520,          2.2310,          1.7850,          1.8185,          2.7002,          0.5466,          1.0183,          1.9765,          2.0408,          0.3806,          1.1834,          1.8721,          3.1405,          5.0008,          0.9941,        -80.0001,        -79.9997,        -79.9984,        -79.9677,        -79.9990,        -79.9956,        -79.9991,        -79.9940
,        0.525000,          1.9876,          1.8520,          2.2311,          1.7848,          1.8185,          2.7002,          0.5467,          1.0181,          1.9764,          2.0408,          0.3807,          1.1828,          1.8722,          3.1405,          5.0008,          0.9941,        -79.9997,        -80.0006,        -80.0003,        -79.9693,        -79.9987,        -79.9960,        -80.0003,        -79.9955
,        0.533333,          1.9876,          1.8520,          2.2311,          1.7846,          1.8186,          2.7002,          0.5467,          1.0181,          1.9765,          2.0407,          0.3810,          1.1828,          1.8722,          3.1406,          5.0008,          0.9940,        -79.9997,        -79.9997,        -80.0018,        -79.9683,        -79.9997,        -79.9974,        -80.0001,        -79.9957
,        0.541667,          1.9875,          1.8520,          2.2313,          1.7843,          1.8186,          2.7003,          0.5468,          1.0180,          1.9766,          2.0407,          0.3811,          1.1824,          1.8722,          3.1405,          5.0009,          0.9941,        -79.9999,        -80.0000,        -80.0005,        -79.9689,        -79.9991,        -79.9984,        -79.9999,        -79.9975
,        0.550000,          1.9875,          1.8520,          2.2313,          1.7841,          1.8186,          2.7004,          0.5468,          1.0179,          1.9764,          2.0407,          0.3813,          1.1819,          1.8722,          3.1406,          5.0009,          0.9941,        -79.9999,        -80.0007,        -79.9999,        -79.9686,        -79.9992,        -79.9984,        -79.9986,        -79.9976
,        0.558333,          1.9876,          1.8520,          2.2314,          1.7838,          1.8186,          2.7004,          0.5469,          1.0178,          1.9765,          2.0407,          0.3815,          1.1817,          1.8723,          3.1405,          5.0009,          0.9941,        -80.0001,        -80.0006,        -79.9990,        -79.9685,        -79.9992,        -79.9981,        -80.0004,        -79.9985
,        0.566667,          1.9875,          1.8519,          2.2315,          1.7836,          1.8186,          2.7002,          0.5469,          1.0178,          1.9765,          2.0406,          0.3817,          1.1816,          1.8723,          3.1405,          5.0008,          0.9940,        -79.9991,        -79.9998,        -79.9986,        -79.9691,        -79.9995,        -79.9983,        -79.9997,        -79.9988
,        0.575000,          1.9875,          1.8520,          2.2315,          1.7834,          1.8186,          2.7003,          0.5469,          1.0176,          1.9765,          2.0406,          0.3819,          1.1812,          1.8723,          3.1405,          5.0009,          0.9941,        -80.0000,        -79.9996,        -80.0004,        -79.9690,        -79.9995,        -79.9998,        -79.9999,        -79.9988
,        0.583333,          1.9875,          1.8520,          2.2317,          1.7832,          1.8187,          2.7004,          0.5470,          1.0176,          1.9765,          2.0406,          0.3821,          1.1809,          1.8723,          3.1405,          5.0009,          0.9941,        -79.9995,        -79.9995,        -80.0014,        -79.9681,        -79.9999,        -79.9999,        -79.9993,        -79.9984
,        0.591667,          1.9875,          1.8520,          2.2317,          1.7830,          1.8187,          2.7004,          0.5471,          1.0176,          1.9765,          2.0406,          0.3823,          1.1807,          1.8724,          3.1405,          5.0009,          0.9941,        -80.0003,        -79.9995,        -80.0005,        -79.9688,        -79.9997,        -80.0003,        -79.9988,        -79.9988
