"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.425000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2270,          1.4509,          1.4253,          1.3942,          1.4064,        -19.9999,        -20.0000,        -20.0001,        -19.9999,        -19.9997,        -19.9988,        -19.9997,        -20.0252
,        0.433333,          1.4450,          1.0694,          1.4020,          1.3862,          1.4291,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2269,          1.4509,          1.4263,          1.3976,          1.4064,        -19.9998,        -20.0000,        -19.9999,        -19.9999,        -19.9995,        -19.9993,        -19.9999,        -19.9968
,        0.441667,          1.4449,          1.0694,          1.4020,          1.3862,          1.4292,          1.0691,          1.1131,          1.1564,          1.1932,          1.2293,          1.0201,          1.2269,          1.4510,          1.4256,          1.3916,          1.4064,        -19.9999,        -20.0001,        -20.0000,        -20.0000,        -19.9997,        -20.0000,        -20.0001,        -19.9873
,        0.450000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4291,          1.0690,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2270,          1.4511,          1.4255,          1.3913,          1.4064,        -20.0001,        -19.9997,        -19.9998,        -19.9998,        -20.0000,        -19.9998,        -20.0002,        -19.9925
,        0.458333,          1.4449,          1.0693,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1933,          1.2293,          1.0202,          1.2269,          1.4511,          1.4253,          1.3992,          1.4064,        -20.0001,        -19.9999,        -19.9999,        -20.0001,        -19.9997,        -20.0007,        -20.0001,        -20.0310
,        0.466667,          1.4450,          1.0694,          1.4020,          1.3862,          1.4291,          1.0690,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2270,          1.4510,          1.4269,          1.3897,          1.4064,        -20.0000,        -20.0002,        -19.9998,        -20.0000,        -20.0000,        -19.9993,        -20.0002,        -19.9797
,        0.475000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2270,          1.4511,          1.4261,          1.3897,          1.4063,        -20.0001,        -20.0001,        -19.9997,        -20.0000,        -20.0001,        -20.0003,        -19.9997,        -19.9882
,        0.483333,          1.4449,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2293,          1.0201,          1.2270,          1.4513,          1.4250,          1.3894,          1.4064,        -20.0001,        -19.9998,        -20.0002,        -20.0000,        -20.0001,        -20.0010,        -19.9999,        -19.9946
,        0.491667,          1.4449,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0202,          1.2270,          1.4510,          1.4252,          1.3897,          1.4064,        -20.0002,        -20.0000,        -19.9999,        -20.0001,        -20.0001,        -19.9992,        -19.9998,        -19.9970
,        0.500000,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0201,          1.2269,          1.4509,          1.4253,          1.3899,          1.4064,        -19.9999,        -20.0001,        -20.0001,        -19.9998,        -20.0001,        -19.9991,        -20.0001,        -19.9981
,        0.508333,          1.4449,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2293,          1.0201,          1.2269,          1.4509,          1.4252,          1.3899,          1.4063,        -19.9999,        -19.9997,        -19.9999,        -20.0000,        -19.9999,        -19.9993,        -20.0000,        -19.9986
,        0.516667,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0690,          1.1131,          1.1564,          1.1933,          1.2292,          1.0201,          1.2269,          1.4509,          1.4252,          1.3899,          1.4064,        -20.0000,        -20.0000,        -19.9998,        -20.0000,        -19.9996,        -19.9996,        -19.9999,        -19.9995
,        0.525000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1932,          1.2292,          1.0201,          1.2269,          1.4509,          1.4252,          1.3900,          1.4064,        -19.9999,        -19.9999,        -20.0000,        -19.9999,        -19.9999,        -19.9997,        -19.9999,        -19.9992
