"InphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_002.tcf]","Time (h)","V 2 [InphaseC4_002]","V 3 [InphaseC4_002]","V 4 [InphaseC4_002]","V 5 [InphaseC4_002]","V 6 [InphaseC4_002]","V 7 [InphaseC4_002]","V 8 [InphaseC4_002]","V 9 [InphaseC4_002]","V 10 [InphaseC4_002]","V 11 [InphaseC4_002]","V 12 [InphaseC4_002]","V 13 [InphaseC4_002]","V 14 [InphaseC4_002]","V 15 [InphaseC4_002]","V 16 [InphaseC4_002]","V  1 [InphaseC4_002]"
          83,        0.683333,          0.9428,          0.2501,          0.7846,          1.8108,          0.9584,          0.1801,          0.6582,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          84,        0.691667,          0.9427,          0.2501,          0.7847,          1.8109,          0.9585,          0.1802,          0.6580,          1.6103,          0.2394,          0.4219,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          85,        0.700000,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1802,          0.6582,          1.6103,          0.2394,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6692,          1.3820
          86,        0.708333,          0.9428,          0.2501,          0.7847,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2395,          0.4218,          1.0126,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          87,        0.716667,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          88,        0.725000,          0.9427,          0.2500,          0.7846,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2393,          0.4218,          1.0126,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          89,        0.733333,          0.9428,          0.2500,          0.7847,          1.8108,          0.9584,          0.1800,          0.6581,          1.6103,          0.2394,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          90,        0.741667,          0.9428,          0.2500,          0.7847,          1.8108,          0.9585,          0.1801,          0.6581,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2772,          0.7138,          0.6693,          1.3820
          91,        0.750000,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1802,          0.6581,          1.6102,          0.2393,          0.4218,          1.0126,          1.7261,          1.2773,          0.7137,          0.6694,          1.3820
          92,        0.758333,          0.9427,          0.2501,          0.7846,          1.8109,          0.9584,          0.1802,          0.6580,          1.6103,          0.2394,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6692,          1.3820
          93,        0.766667,          0.9427,          0.2501,          0.7847,          1.8107,          0.9584,          0.1802,          0.6581,          1.6103,          0.2393,          0.4219,          1.0126,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          94,        0.775000,          0.9427,          0.2500,          0.7846,          1.8108,          0.9584,          0.1801,          0.6580,          1.6102,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          95,        0.783333,          0.9428,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          96,        0.791667,          0.9428,          0.2501,          0.7846,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2393,          0.4219,          1.0127,          1.7261,          1.2772,          0.7138,          0.6693,          1.3820
