"OutphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_006.tcf]","Time (h)","V 2 [OutphaseC4_006]","V 3 [OutphaseC4_006]","V 4 [OutphaseC4_006]","V 5 [OutphaseC4_006]","V 6 [OutphaseC4_006]","V 7 [OutphaseC4_006]","V 8 [OutphaseC4_006]","V 9 [OutphaseC4_006]","V 10 [OutphaseC4_006]","V 11 [OutphaseC4_006]","V 12 [OutphaseC4_006]","V 13 [OutphaseC4_006]","V 14 [OutphaseC4_006]","V 15 [OutphaseC4_006]","V 16 [OutphaseC4_006]","V  1 [OutphaseC4_006]"
          89,        0.733333,          0.8806,          0.0000,          0.3625,          0.2970,          0.5087,          0.0000,          0.0879,          0.1246,          0.4925,          0.0165,          0.0903,          0.1160,          0.2554,          1.2936,          1.6825,          0.2566
          90,        0.741667,          0.8792,          0.0000,          0.3614,          0.2977,          0.5092,          0.0000,          0.0878,          0.1248,          0.4947,          0.0462,          0.0859,          0.1194,          0.2647,          1.3255,          1.7334,          0.2567
          91,        0.750000,          0.8811,          0.0000,          0.3604,          0.2987,          0.5089,          0.0000,          0.0875,          0.1258,          0.4964,          0.0522,          0.0807,          0.1230,          0.2729,          1.3533,          1.7789,          0.2599
          92,        0.758333,          0.8809,          0.0000,          0.3595,          0.2992,          0.5092,          0.0000,          0.0875,          0.1276,          0.4978,          0.0552,          0.0757,          0.1260,          0.2803,          1.3772,          1.8186,          0.2563
          93,        0.766667,          0.8812,          0.0000,          0.3581,          0.3003,          0.5093,          0.0000,          0.0876,          0.1302,          0.4993,          0.0565,          0.0704,          0.1283,          0.2870,          1.3977,          1.8543,          0.2694
          94,        0.775000,          0.8804,          0.0000,          0.3572,          0.3010,          0.5091,          0.0000,          0.0874,          0.1319,          0.5001,          0.0621,          0.0665,          0.1311,          0.2929,          1.4166,          1.8864,          0.2568
          95,        0.783333,          0.8791,          0.0000,          0.3556,          0.3018,          0.5095,          0.0000,          0.0871,          0.1330,          0.5014,          0.0699,          0.0634,          0.1350,          0.2982,          1.4332,          1.9150,          0.2573
          96,        0.791667,          0.8809,          0.0000,          0.3543,          0.3029,          0.5091,          0.0000,          0.0867,          0.1336,          0.5023,          0.0674,          0.0617,          0.1401,          0.3028,          1.4483,          1.9401,          0.2600
          97,        0.800000,          0.8810,          0.0000,          0.3530,          0.3036,          0.5095,          0.0000,          0.0868,          0.1336,          0.5030,          0.0687,          0.0609,          0.1443,          0.3069,          1.4614,          1.9626,          0.2565
          98,        0.808333,          0.8809,          0.0000,          0.3511,          0.3047,          0.5095,          0.0000,          0.0869,          0.1333,          0.5039,          0.0783,          0.0594,          0.1478,          0.3104,          1.4733,          1.9826,          0.2700
          99,        0.816667,          0.8802,          0.0000,          0.3497,          0.3054,          0.5095,          0.0000,          0.0870,          0.1319,          0.5043,          0.0868,          0.0582,          0.1485,          0.3137,          1.4841,          2.0003,          0.2571
         100,        0.825000,          0.8790,          0.0000,          0.3478,          0.3063,          0.5098,          0.0000,          0.0871,          0.1299,          0.5056,          0.0876,          0.0570,          0.1480,          0.3164,          1.4931,          2.0159,          0.2583
         101,        0.833333,          0.8807,          0.0000,          0.3460,          0.3072,          0.5095,          0.0000,          0.0870,          0.1283,          0.5052,          0.0893,          0.0552,          0.1473,          0.3189,          1.5014,          2.0300,          0.2602
         102,        0.841667,          0.8810,          0.0000,          0.3443,          0.3077,          0.5098,          0.0000,          0.0871,          0.1272,          0.5051,          0.0892,          0.0535,          0.1460,          0.3213,          1.5088,          2.0422,          0.2567
         103,        0.850000,          0.8807,          0.0000,          0.3420,          0.3087,          0.5099,          0.0000,          0.0869,          0.1272,          0.5056,          0.0891,          0.0519,          0.1451,          0.3235,          1.5153,          2.0531,          0.2706
         104,        0.858333,          0.8800,          0.0000,          0.3402,          0.3094,          0.5098,          0.0000,          0.0869,          0.1276,          0.5055,          0.0899,          0.0503,          0.1451,          0.3254,          1.5210,          2.0628,          0.2574
         105,        0.866667,          0.8788,          0.0000,          0.3378,          0.3103,          0.5100,          0.0000,          0.0869,          0.1284,          0.5059,          0.0914,          0.0491,          0.1461,          0.3269,          1.5261,          2.0715,          0.2594
         106,        0.875000,          0.8805,          0.0000,          0.3357,          0.3111,          0.5098,          0.0000,          0.0868,          0.1290,          0.5061,          0.0887,          0.0484,          0.1475,          0.3284,          1.5307,          2.0790,          0.2605
         107,        0.883333,          0.8811,          0.0000,          0.3334,          0.3119,          0.5101,          0.0000,          0.0869,          0.1294,          0.5062,          0.0912,          0.0482,          0.1493,          0.3296,          1.5348,          2.0858,          0.2572
         108,        0.891667,          0.8805,          0.0000,          0.3309,          0.3129,          0.5101,          0.0000,          0.0870,          0.1295,          0.5110,          0.0929,          0.0471,          0.1509,          0.3308,          1.5384,          2.0919,          0.2708
