"InphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_011.tcf]","Time (h)","V 2 [InphaseC4_011]","V 3 [InphaseC4_011]","V 4 [InphaseC4_011]","V 5 [InphaseC4_011]","V 6 [InphaseC4_011]","V 7 [InphaseC4_011]","V 8 [InphaseC4_011]","V 9 [InphaseC4_011]","V 10 [InphaseC4_011]","V 11 [InphaseC4_011]","V 12 [InphaseC4_011]","V 13 [InphaseC4_011]","V 14 [InphaseC4_011]","V 15 [InphaseC4_011]","V 16 [InphaseC4_011]","V  1 [InphaseC4_011]"
         106,        0.875000,          0.8882,          0.2273,          0.7405,          1.7585,          0.9006,          0.1549,          0.6203,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         107,        0.883333,          0.8882,          0.2273,          0.7404,          1.7585,          0.9006,          0.1549,          0.6203,          1.5330,          0.2073,          0.3882,          0.9662,          1.6567,          1.2309,          0.6616,          0.6261,          1.3240
         108,        0.891667,          0.8882,          0.2274,          0.7405,          1.7585,          0.9006,          0.1549,          0.6202,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         109,        0.900000,          0.8882,          0.2273,          0.7403,          1.7585,          0.9006,          0.1548,          0.6202,          1.5330,          0.2073,          0.3882,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         110,        0.908333,          0.8882,          0.2273,          0.7405,          1.7585,          0.9007,          0.1549,          0.6202,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         111,        0.916667,          0.8882,          0.2273,          0.7404,          1.7585,          0.9006,          0.1549,          0.6202,          1.5331,          0.2073,          0.3882,          0.9662,          1.6566,          1.2309,          0.6616,          0.6261,          1.3240
         112,        0.925000,          0.8882,          0.2274,          0.7405,          1.7585,          0.9007,          0.1549,          0.6203,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         113,        0.933333,          0.8882,          0.2273,          0.7405,          1.7585,          0.9006,          0.1549,          0.6202,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
         114,        0.941667,          0.8882,          0.2273,          0.7404,          1.7585,          0.9006,          0.1548,          0.6203,          1.5330,          0.2073,          0.3881,          0.9662,          1.6566,          1.2309,          0.6615,          0.6262,          1.3240
         115,        0.950000,          0.8882,          0.2273,          0.7404,          1.7585,          0.9006,          0.1549,          0.6203,          1.5330,          0.2073,          0.3882,          0.9662,          1.6566,          1.2309,          0.6616,          0.6262,          1.3240
