iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
270,47.9718,0.236482,0.235848,0.751099,0.915573,0.300049,91.9467
271,48.2076,0.236444,0.235848,0.750229,0.915421,0.300064,91.985
272,48.4435,0.236393,0.235848,0.749329,0.915222,0.300049,92.023
273,48.6793,0.236355,0.235848,0.748474,0.915085,0.300064,92.0607
274,48.9151,0.236304,0.235848,0.747589,0.914886,0.300049,92.0981
275,49.151,0.236266,0.235848,0.746735,0.914734,0.300049,92.1353
276,49.3868,0.236228,0.235848,0.745926,0.914581,0.300064,92.1722
277,49.6227,0.236177,0.235848,0.745132,0.914398,0.300049,92.2088
278,49.8585,0.236139,0.235848,0.74437,0.914246,0.300064,92.2451
279,50.0944,0.236088,0.235848,0.74353,0.914047,0.300034,92.2812
280,50.3302,0.236062,0.235848,0.742783,0.91394,0.300049,92.3171
281,50.5661,0.236023,0.235848,0.74202,0.913803,0.300049,92.3526
282,50.8019,0.235985,0.235848,0.741272,0.913651,0.300064,92.3879
283,51.0378,0.235935,0.235848,0.740417,0.913452,0.300049,92.423
284,51.2736,0.235896,0.235848,0.7397,0.9133,0.300049,92.4579
285,51.5095,0.235858,0.235848,0.738937,0.913162,0.300049,92.4924
286,51.7389,0.235819,0.229474,0.738235,0.91301,0.300049,92.5139
287,51.9684,0.235781,0.229474,0.737457,0.912857,0.300034,92.5352
288,52.1979,0.235755,0.229474,0.736755,0.91275,0.300049,92.5563
289,52.4274,0.235716,0.229474,0.735977,0.912613,0.300049,92.5774
290,52.6568,0.235678,0.229474,0.735245,0.91246,0.300034,92.5983
291,52.8863,0.235652,0.229474,0.734482,0.912354,0.300049,92.6191
292,53.1158,0.235613,0.229474,0.733688,0.912216,0.300049,92.6398
293,53.3453,0.235575,0.229474,0.732895,0.912064,0.300034,92.6604
294,53.5747,0.235549,0.229474,0.732162,0.911957,0.300049,92.6809
295,53.8042,0.23551,0.229474,0.731445,0.911804,0.300034,92.7012
