"OutphaseC4_016","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_016.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.433333,          1.8285,          1.0963,          1.6752,          1.3274,          1.4736,          2.1169,          0.2386,          0.7016,          1.8119,          1.3554,          0.2178,          0.8681,          1.4155,          2.8969,          4.3372,          0.8197,        -50.0007,        -49.9967,        -49.9977,        -49.9931,        -49.9724,        -49.9059,        -50.0011,        -49.8813
,        0.441667,          1.8287,          1.0914,          1.6754,          1.3271,          1.4735,          2.1170,          0.2385,          0.7014,          1.8118,          1.3552,          0.2177,          0.8695,          1.4151,          2.8965,          4.3377,          0.8201,        -49.9980,        -50.0010,        -49.9998,        -49.9920,        -49.9776,        -49.9237,        -49.9987,        -49.9029
,        0.450000,          1.8285,          1.0977,          1.6754,          1.3267,          1.4735,          2.1170,          0.2386,          0.7012,          1.8118,          1.3551,          0.2177,          0.8705,          1.4146,          2.8965,          4.3380,          0.8200,        -50.0024,        -50.0003,        -49.9992,        -49.9937,        -49.9815,        -49.9371,        -50.0006,        -49.9202
,        0.458333,          1.8285,          1.0966,          1.6756,          1.3262,          1.4736,          2.1169,          0.2386,          0.7012,          1.8119,          1.3550,          0.2181,          0.8714,          1.4143,          2.8967,          4.3384,          0.8197,        -49.9998,        -49.9988,        -49.9985,        -49.9981,        -49.9847,        -49.9485,        -49.9999,        -49.9353
,        0.466667,          1.8285,          1.0916,          1.6760,          1.3258,          1.4734,          2.1170,          0.2386,          0.7011,          1.8119,          1.3550,          0.2183,          0.8736,          1.4138,          2.8970,          4.3388,          0.8201,        -49.9990,        -50.0013,        -50.0002,        -49.9985,        -49.9892,        -49.9587,        -49.9998,        -49.9470
,        0.475000,          1.8285,          1.0971,          1.6759,          1.3256,          1.4735,          2.1170,          0.2387,          0.7010,          1.8119,          1.3551,          0.2180,          0.8750,          1.4131,          2.8970,          4.3390,          0.8201,        -49.9994,        -50.0027,        -50.0003,        -49.9960,        -49.9910,        -49.9658,        -50.0003,        -49.9563
,        0.483333,          1.8285,          1.0967,          1.6759,          1.3248,          1.4737,          2.1169,          0.2387,          0.7009,          1.8120,          1.3552,          0.2178,          0.8751,          1.4130,          2.8971,          4.3392,          0.8197,        -50.0010,        -49.9989,        -49.9981,        -49.9986,        -49.9921,        -49.9717,        -49.9968,        -49.9650
,        0.491667,          1.8286,          1.0927,          1.6760,          1.3237,          1.4731,          2.1170,          0.2388,          0.7009,          1.8120,          1.3553,          0.2175,          0.8752,          1.4130,          2.8973,          4.3394,          0.8201,        -50.0001,        -49.9986,        -50.0002,        -49.9997,        -49.9945,        -49.9794,        -49.9992,        -49.9715
,        0.500000,          1.8285,          1.0960,          1.6764,          1.3233,          1.4735,          2.1170,          0.2388,          0.7007,          1.8120,          1.3554,          0.2171,          0.8755,          1.4128,          2.8975,          4.3396,          0.8200,        -50.0006,        -50.0017,        -50.0007,        -49.9981,        -49.9954,        -49.9810,        -49.9999,        -49.9763
,        0.508333,          1.8286,          1.0966,          1.6763,          1.3236,          1.4735,          2.1169,          0.2389,          0.7007,          1.8120,          1.3554,          0.2167,          0.8760,          1.4126,          2.8975,          4.3397,          0.8197,        -50.0003,        -49.9996,        -49.9993,        -49.9987,        -49.9949,        -49.9861,        -50.0010,        -49.9811
,        0.516667,          1.8287,          1.0931,          1.6763,          1.3221,          1.4738,          2.1170,          0.2389,          0.7006,          1.8120,          1.3556,          0.2164,          0.8767,          1.4124,          2.8976,          4.3398,          0.8200,        -49.9984,        -49.9987,        -49.9997,        -50.0006,        -49.9977,        -49.9879,        -50.0003,        -49.9844
,        0.525000,          1.8285,          1.0957,          1.6764,          1.3212,          1.4731,          2.1170,          0.2389,          0.7004,          1.8120,          1.3556,          0.2161,          0.8774,          1.4122,          2.8976,          4.3399,          0.8200,        -50.0000,        -50.0014,        -50.0002,        -49.9991,        -49.9979,        -49.9897,        -50.0004,        -49.9877
,        0.533333,          1.8285,          1.0965,          1.6766,          1.3211,          1.4735,          2.1170,          0.2390,          0.7002,          1.8119,          1.3556,          0.2158,          0.8783,          1.4118,          2.8976,          4.3399,          0.8198,        -50.0006,        -49.9995,        -50.0004,        -50.0002,        -49.9977,        -49.9912,        -49.9997,        -49.9897
,        0.541667,          1.8287,          1.0935,          1.6768,          1.3206,          1.4737,          2.1170,          0.2390,          0.7003,          1.8120,          1.3557,          0.2154,          0.8791,          1.4115,          2.8976,          4.3400,          0.8200,        -49.9990,        -49.9993,        -50.0001,        -50.0011,        -49.9979,        -49.9939,        -50.0013,        -49.9919
,        0.550000,          1.8285,          1.0956,          1.6770,          1.3201,          1.4736,          2.1171,          0.2390,          0.7002,          1.8120,          1.3557,          0.2150,          0.8800,          1.4113,          2.8976,          4.3400,          0.8200,        -50.0000,        -50.0007,        -50.0004,        -49.9987,        -49.9990,        -49.9952,        -49.9984,        -49.9932
,        0.558333,          1.8285,          1.0964,          1.6773,          1.3196,          1.4737,          2.1170,          0.2391,          0.6999,          1.8120,          1.3558,          0.2145,          0.8810,          1.4109,          2.8977,          4.3401,          0.8198,        -50.0007,        -49.9987,        -49.9991,        -49.9994,        -49.9988,        -49.9949,        -50.0004,        -49.9945
,        0.566667,          1.8287,          1.0937,          1.6775,          1.3190,          1.4736,          2.1170,          0.2392,          0.6998,          1.8119,          1.3560,          0.2141,          0.8818,          1.4106,          2.8977,          4.3401,          0.8200,        -49.9980,        -49.9985,        -49.9993,        -50.0006,        -49.9992,        -49.9964,        -50.0003,        -49.9959
,        0.575000,          1.8285,          1.0954,          1.6777,          1.3184,          1.4735,          2.1171,          0.2391,          0.6999,          1.8120,          1.3561,          0.2135,          0.8827,          1.4104,          2.8977,          4.3401,          0.8200,        -49.9997,        -50.0006,        -50.0006,        -50.0004,        -49.9993,        -49.9980,        -50.0000,        -49.9961
,        0.583333,          1.8286,          1.0962,          1.6779,          1.3177,          1.4736,          2.1170,          0.2392,          0.6996,          1.8120,          1.3562,          0.2131,          0.8837,          1.4102,          2.8977,          4.3402,          0.8199,        -50.0001,        -50.0011,        -49.9993,        -50.0000,        -49.9988,        -49.9972,        -49.9997,        -49.9968
,        0.591667,          1.8286,          1.0940,          1.6782,          1.3171,          1.4735,          2.1170,          0.2393,          0.6994,          1.8119,          1.3563,          0.2125,          0.8845,          1.4101,          2.8977,          4.3402,          0.8200,        -49.9997,        -50.0003,        -49.9999,        -49.9996,        -49.9989,        -49.9983,        -50.0004,        -49.9979
,        0.600000,          1.8286,          1.0951,          1.6784,          1.3165,          1.4736,          2.1171,          0.2393,          0.6995,          1.8119,          1.3564,          0.2120,          0.8854,          1.4101,          2.8977,          4.3402,          0.8201,        -49.9989,        -50.0000,        -50.0010,        -49.9989,        -49.9997,        -49.9987,        -49.9996,        -49.9976
,        0.608333,          1.8285,          1.0961,          1.6787,          1.3158,          1.4735,          2.1170,          0.2394,          0.6993,          1.8120,          1.3564,          0.2114,          0.8866,          1.4101,          2.8977,          4.3402,          0.8198,        -50.0006,        -50.0006,        -50.0003,        -49.9995,        -49.9992,        -49.9992,        -50.0015,        -49.9982
,        0.616667,          1.8285,          1.0942,          1.6790,          1.3151,          1.4735,          2.1170,          0.2394,          0.6991,          1.8119,          1.3565,          0.2109,          0.8875,          1.4102,          2.8977,          4.3402,          0.8200,        -49.9991,        -49.9980,        -49.9999,        -50.0004,        -49.9998,        -49.9978,        -50.0007,        -49.9986
,        0.625000,          1.8286,          1.0950,          1.6793,          1.3145,          1.4736,          2.1170,          0.2396,          0.6990,          1.8119,          1.3566,          0.2103,          0.8886,          1.4102,          2.8977,          4.3403,          0.8200,        -49.9998,        -50.0010,        -50.0005,        -49.9999,        -49.9998,        -49.9996,        -49.9991,        -49.9992
,        0.633333,          1.8286,          1.0959,          1.6796,          1.3138,          1.4736,          2.1170,          0.2396,          0.6989,          1.8120,          1.3567,          0.2097,          0.8899,          1.4102,          2.8977,          4.3403,          0.8199,        -49.9999,        -50.0005,        -49.9996,        -50.0004,        -50.0002,        -49.9987,        -50.0012,        -49.9988
,        0.641667,          1.8285,          1.0943,          1.6799,          1.3130,          1.4735,          2.1170,          0.2396,          0.6987,          1.8119,          1.3569,          0.2091,          0.8910,          1.4104,          2.8977,          4.3402,          0.8199,        -49.9993,        -50.0014,        -49.9995,        -49.9996,        -49.9995,        -49.9994,        -50.0003,        -49.9993
,        0.650000,          1.8285,          1.0949,          1.6802,          1.3123,          1.4735,          2.1170,          0.2397,          0.6985,          1.8119,          1.3570,          0.2085,          0.8922,          1.4105,          2.8978,          4.3403,          0.8200,        -49.9996,        -50.0007,        -50.0002,        -50.0004,        -50.0001,        -49.9988,        -50.0001,        -49.9994
,        0.658333,          1.8286,          1.0957,          1.6805,          1.3115,          1.4736,          2.1170,          0.2398,          0.6985,          1.8119,          1.3571,          0.2078,          0.8934,          1.4107,          2.8977,          4.3402,          0.8198,        -50.0003,        -50.0005,        -49.9998,        -50.0000,        -49.9999,        -50.0000,        -50.0000,        -49.9997
